#####	add_source_type
#####	addmoney
xxxxx	addrescue
#####	addresses
OOOOO	appfees
OOOOO	appservices
OOOOO	bilresponse
OOOOO	blockeduser
#####	buy
OOOOO	buyorder
#####	city
#####	country
OOOOO	crypto_pricing
#####	currency
#####	customers
#####	kyc_demand
#####	kyc_details
#####	manual_transfert
xxxxx	orderbook
xxxxx	orderstatus
xxxxx	orderstatushistory
xxxxx	ordertype
OOOOO	panel_solde
xxxxx	partners_branches
xxxxx	partnerstype
###OO	payment_type
OOOOO	promotion
xxxxx	ref_branch_types
	referal_codes
	reward_settings
	rewards
xxxxx	session
OOOOO	sponsorships
xxxxx	status
#####	transactions
xxxxx	transactions_history
xxxxx	transactions_type
#####	wallet
#####	wallet_status
#####	wallets_type
OOOOO	weekly_transaction
